message,response
acha,Ha
alright,Alright! 👌
bye,Goodbye! Have a nice day! 👋
good morning,Good morning! ☀️
good afternoon,Good afternoon! 🌤️
good evening,Good evening! 🌆
good night,Good night! 🌙
gn,Gn! 🌜
gm,Gm! 🌅
haa,👍
hello,Hello! 👋
help,How can I assist you? Please provide more details. 🛠️
hi,Hello! 👋
how are you,I'm here to help you! From team NSheth 🤖
okay,👍
ok,👍
thank you,You're welcome! 🙏
thank u,You're welcome! 🙏
thank youu,You're welcome! 🙏
thankyou,You're welcome! 🙏
thanks,You're welcome! 🙏
wah,Ha
what is your name,I'm your friendly assistant From team NSheth 🤖
ya,👍
yeah,👍
yep,👍
yes,👍
howdy,Howdy! 🤠
hey,Hey there! 👋
sup,Not much you? 🤔
what's up,Not much what about you? 🤔
morning,Morning! 🌄
afternoon,Afternoon! ☀️
evening,Evening! 🌆
night,Night! 🌙
cya,See ya later! 👋
laters,Laters! 👋
gotta go,Gotta go bye! 🏃‍♂️
adios,Adios! 👋
cheers,Cheers! 🥂
see you later,See you later! 👋
see ya,See ya! 👋
later gator,Later gator! 🐊
brb,Be right back! 🕒
bbl,Be back later! 🕒
afk,Away from keyboard! ⌨️
lol,Haha! 😄
rofl,Rofl! 🤣
omg,Oh my god! 😲
btw,By the way... 🤔
ttyl,Talk to you later! 👋
gtg,Gotta go! 👋
idk,I don't know! 🤷‍♂️
ic,I see! 👀
imho,In my humble opinion! 💬
imo,In my opinion! 💬
wbu,What about you? 🤔
wb,Welcome back! 👋
yw,You're welcome! 🙏
np,No problem! 👍
omw,On my way! 🚗
yolo,Yolo! 🎉
ftw,For the win! 🏆
bday,Happy birthday! 🎂
tgif,Thank God it's Friday! 🎉
tbh,To be honest! 🤔
smh,Shaking my head! 🙄
irl,In real life! 🌍
ttyt,Talk to you tomorrow! 👋
gl,Good luck! 🍀
hf,Have fun! 🎉
cu,See you! 👋
sup,What's up? 🤔
gtg,Gotta go! 👋
wb,Welcome back! 👋
yolo,Yolo! 🎉
kya haal hai,Main to bas yahan hoon! Team NSheth se 🤖
namaste,Namaste! Kaise madad kar sakta hoon aapki? 🙏
shubh prabhat,Shubh prabhat! 🌄
shubh sandhya,Shubh sandhya! 🌆
shubh ratri,Shubh ratri! 🌙
accha,Ha
thik hai,👍
shukriya,Aapka swagat hai! 🙏
dhanyavad,Dhanyavad! 🙏
dhanyawad,Dhanyawad! 🙏
koi baat nahi,Koi baat nahi! 👍
koi problem nahi hai,Koi problem nahi hai! 👍
phir milenge,Phir milenge! 👋
milte hain,Milte hain! 👋
chalo bye,Chalo bye! 👋
alvida,Alvida! 👋
namaskar,Namaskar! 🙏
kya chal raha hai,Kuch nahi aur aap? 🤔
subah ho gayi,Mausam thoda romantic ho gaya 🌄
dopahar ho gaya,Aapko dopahar ki shubh kamnaye 🌤️
shaam ho gayi,Shaam ho gayi! Chai peene chalein? 🌆
raat ho gayi,Raat ho gayi! So jao sab! 🌙
cya,Phir milenge! 👋
baad me milte hain,Baad me milte hain! 👋
jaana padega,Jaana padega! 👋
bye bye,Bye bye! 👋
phir milte hain,Phir milte hain! 👋
milte hain,Milte hain! 👋
thik hai,👍
theek hai,👍
hanji,👍
haan,👍
hmm,Hmm
oye,Hey! 👋
bhai,Bhai! Kaisa chal raha hai? 👍
bhen,Bhen! Kaisi ho? 👍
yo,Yo! Kya chal raha hai? 🤔
chal batao,Chal batao! Kya haal hai? 👍
kya haal hai,Kuch nahi bhai bas yun hi! 👍
bhai kaisa hai,Bhai mast hoon! Tu suna! 👍
bhai kaisi hai,Bhen sab theek hai? 👍
chalo,Chalo! 👋
theek hai,👍
ok,👍
achha,Ha
waah,Ha
haan ji,👍
theek hai,👍
